cn_name,en_name,rating,comment_number,director
恐怖直播,더 테러 라이브,8.7,234261,"导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
                            2013 / 韩国 / 剧情 犯罪 悬疑"
驯龙高手,How to Train Your Dragon,8.7,298747,"导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...
                            2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭"
菊次郎的夏天,菊次郎の夏,8.7,190872,"导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...
                            1999 / 日本 / 剧情 喜剧"
幸福终点站,The Terminal,8.6,234044,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            2004 / 美国 / 喜剧 剧情 爱情"
岁月神偷,歲月神偷,8.6,318068,"导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...
                            2010 / 香港 中国大陆 / 剧情 家庭"
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,8.7,227023,"导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...
                            2010 / 日本 / 动画 奇幻 冒险"
神偷奶爸,Despicable Me,8.5,396076,"导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...
                            2010 / 美国 法国 / 喜剧 动画 冒险"
七武士,七人の侍,9.2,80457,"导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...
                            1954 / 日本 / 动作 冒险 剧情"
小森林 夏秋篇,リトル・フォレスト 夏・秋,8.9,138544,"导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
                            2014 / 日本 / 剧情"
喜剧之王,喜劇之王,8.5,330954,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
                            1999 / 香港 / 喜剧 剧情 爱情"
海洋,Océans,9.0,101490,"导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...
                            2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片"
真爱至上,Love Actually,8.5,327064,"导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林...
                            2003 / 英国 美国 法国 / 喜剧 剧情 爱情"
杀人回忆,살인의 추억,8.6,218139,"导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
                            2003 / 韩国 / 犯罪 剧情 悬疑 惊悚"
电锯惊魂,Saw,8.7,206930,"导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...
                            2004 / 美国 / 悬疑 惊悚 恐怖"
谍影重重3,The Bourne Ultimatum,8.7,187793,"导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...
                            2007 / 美国 德国 / 动作 悬疑 惊悚"
贫民窟的百万富翁,Slumdog Millionaire,8.5,408703,"导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫...
                            2008 / 英国 美国 / 剧情 爱情"
雨人,Rain Man,8.6,217018,"导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman ...
                            1988 / 美国 / 剧情"
记忆碎片,Memento,8.5,290334,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...
                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚"
东邪西毒,東邪西毒,8.6,260789,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...
                            1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装"
喜宴,囍宴,8.8,145985,"导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
                            1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭"
怪兽电力公司,"Monsters, Inc.",8.6,251850,"导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...
                            2001 / 美国 / 喜剧 动画 儿童 奇幻"
疯狂原始人,The Croods,8.7,384462,"导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...
                            2013 / 美国 / 喜剧 动画 冒险"
